"Scenario name","Filename we sent to server","Filename we got back","Server response code on upload","Filename comparison result"
"a basic filename test","filename.txt","filename.txt","201","exact"
"a sequence containing á at position 1","fileáname.txt","fileáname.txt","201","exact"
"a sequence containing é at position 1","fileéname.txt","fileéname.txt","201","exact"
"a sequence containing ä at position 1","fileäname.txt","fileäname.txt","201","exact"
"a sequence containing © at position 1","file©name.txt","file©name.txt","201","exact"
"a sequence containing µ at position 1","fileµname.txt","fileµname.txt","201","exact"
"a sequence containing ñ at position 1","fileñname.txt","fileñname.txt","201","exact"
"a sequence containing § at position 1","file§name.txt","file§name.txt","201","exact"
"a sequence containing œ at position 1","fileœname.txt","fileœname.txt","201","exact"
"a sequence containing ∑ at position 1","file∑name.txt","file∑name.txt","201","exact"
"a sequence containing ´ at position 1","file´name.txt","file´name.txt","201","exact"
"a sequence containing ® at position 1","file®name.txt","file®name.txt","201","exact"
"a sequence containing † at position 1","file†name.txt","file†name.txt","201","exact"
"a sequence containing ¥ at position 1","file¥name.txt","file¥name.txt","201","exact"
"a sequence containing ¨ at position 1","file¨name.txt","file¨name.txt","201","exact"
"a sequence containing ˆ at position 1","fileˆname.txt","fileˆname.txt","201","exact"
"a sequence containing ø at position 1","fileøname.txt","fileøname.txt","201","exact"
"a sequence containing π at position 1","fileπname.txt","fileπname.txt","201","exact"
"a sequence containing “ at position 1","file“name.txt","file“name.txt","201","exact"
"a sequence containing ‘ at position 1","file‘name.txt","file‘name.txt","201","exact"
"a sequence containing 部落格 at position 1","file部落格name.txt","file部落格name.txt","201","exact"
"a sequence containing  ͡° ͜ʖ ͡° at position 1","file ͡° ͜ʖ ͡°name.txt","file ͡° ͜ʖ ͡°name.txt","201","exact"
"a sequence containing 👩🏽 at position 1","file👩🏽name.txt","","500","False"
"a sequence containing Ⱥ at position 1","fileȺname.txt","","500","False"
"a sequence containing ⱥ at position 1","fileⱥname.txt","","500","False"
"a sequence containing 💩 at position 1","file💩name.txt","","500","False"
"leading dot",".filename","","500","False"
"trailing dot","filename.","","500","False"
"interior dot","file.name","","500","False"
"no extension","afile","","500","False"
"multiple dots","..afile.txt","","500","False"
"windows reserved word","$Volume.txt","","500","False"
"UPPER CASE FILENAME","FILENAME.TXT","","500","False"
"lowercase filename","filename.txt","","500","False"
"Mixed Case Filename","fIlEnAmE.txt","","500","False"
"Contains HTML","filename containing <img src=onerror=""alert('Hello world')""> html","","500","False"
